iter	RMSE
0	8662.060043
1	8503.415746
2	8348.647699
3	8217.670064
4	8087.325459
5	7975.529489
6	7869.977791
7	7762.525469
8	7663.944562
9	7573.429351
10	7492.679599
11	7405.482523
12	7343.704858
13	7275.289944
14	7212.454716
15	7144.321648
16	7092.108899
17	7053.670478
18	7010.399571
19	6966.011665
20	6923.684209
21	6878.676724
22	6841.88459
23	6811.482187
24	6783.028109
25	6753.666801
26	6724.445866
27	6696.591577
28	6670.600207
29	6650.579243
30	6629.645547
31	6605.547039
32	6590.906733
33	6573.164947
34	6554.578347
35	6540.448595
36	6522.710034
37	6509.615825
38	6492.339789
39	6478.783229
40	6464.972992
41	6451.054193
42	6439.133413
43	6426.843306
44	6414.909174
45	6403.299074
46	6386.18022
47	6378.892552
48	6369.103374
49	6358.693321
50	6349.496406
51	6336.672909
52	6330.474976
53	6324.3003
54	6312.980037
55	6303.593621
56	6283.345653
57	6279.370376
58	6274.029022
59	6264.250099
60	6255.290825
61	6241.925802
62	6236.110669
63	6229.777087
64	6223.210895
65	6217.900449
66	6213.207611
67	6205.933696
68	6201.336465
69	6197.737971
70	6192.497243
71	6188.159008
72	6178.297867
73	6174.741441
74	6169.784148
75	6168.646436
76	6165.591611
77	6158.132839
78	6155.676774
79	6149.92847
80	6142.581049
81	6138.710926
82	6135.210472
83	6131.831235
84	6129.690453
85	6124.344097
86	6119.884878
87	6114.307649
88	6113.855625
89	6105.444889
90	6102.935133
91	6098.908856
92	6094.472545
93	6090.377941
94	6087.612384
95	6080.920749
96	6077.340301
97	6074.14591
98	6073.892618
99	6071.555437
100	6066.771037
101	6056.676931
102	6056.161478
103	6052.467687
104	6050.690532
105	6047.869966
106	6041.214629
107	6040.023274
108	6037.493299
109	6033.361423
110	6030.709031
111	6027.62202
112	6026.139412
113	6016.502898
114	6013.162181
115	6007.629395
116	6005.299098
117	6001.552062
118	6000.952429
119	5999.822676
120	5994.484558
121	5991.258782
122	5990.027198
123	5981.058767
124	5978.312435
125	5972.872668
126	5968.219062
127	5967.783886
128	5965.032375
129	5957.409595
130	5957.286995
131	5953.483206
132	5949.805881
