iter	Passed	Remaining
0	172	85962
1	210	52513
2	246	40834
3	292	36291
4	333	32968
5	379	31265
6	419	29512
7	449	27640
8	478	26113
9	507	24847
10	553	24613
11	592	24107
12	626	23466
13	664	23073
14	702	22715
15	740	22399
16	779	22150
17	810	21704
18	840	21272
19	878	21073
20	915	20887
21	962	20906
22	1002	20792
23	1052	20884
24	1067	20282
25	1104	20140
26	1152	20185
27	1190	20075
28	1224	19882
29	1261	19755
30	1302	19698
31	1341	19618
32	1378	19514
33	1416	19411
34	1444	19193
35	1492	19241
36	1532	19171
37	1559	18965
38	1608	19014
39	1648	18961
40	1689	18914
41	1727	18838
42	1775	18866
43	1815	18815
44	1854	18746
45	1892	18673
46	1940	18699
47	1978	18630
48	2027	18662
49	2065	18592
50	2113	18607
51	2152	18540
52	2187	18451
53	2226	18389
54	2266	18338
55	2304	18268
56	2349	18262
57	2389	18210
58	2489	18611
59	2539	18625
60	2588	18629
61	2629	18574
62	2677	18575
63	2717	18510
64	2756	18444
65	2793	18367
66	2831	18300
67	2870	18235
68	2908	18165
69	2935	18035
70	2976	17985
71	3016	17929
72	3054	17868
73	3103	17863
74	3141	17800
75	3164	17654
76	3213	17654
77	3252	17596
78	3286	17512
79	3324	17452
80	3373	17448
81	3412	17396
82	3460	17388
83	3497	17318
84	3536	17264
85	3578	17224
86	3624	17204
87	3654	17110
88	3676	16978
89	3714	16922
90	3753	16871
91	3803	16866
92	3842	16815
93	3892	16811
94	3939	16793
95	3979	16747
96	4027	16732
97	4066	16682
98	4095	16589
99	4143	16575
100	4184	16529
101	4230	16508
102	4242	16350
103	4279	16294
104	4327	16279
105	4365	16228
106	4406	16183
107	4453	16166
108	4492	16113
109	4539	16094
110	4580	16052
111	4627	16030
112	4666	15982
113	4706	15936
114	4756	15923
115	4795	15873
116	4844	15857
117	4883	15808
118	4932	15791
119	4972	15746
120	5022	15730
121	5061	15681
122	5100	15633
123	5149	15613
124	5200	15600
125	5253	15593
126	5290	15538
127	5302	15408
128	5347	15380
129	5387	15334
130	5398	15205
131	5444	15179
132	5484	15133
133	5523	15086
134	5571	15063
135	5610	15015
136	5659	14995
137	5698	14949
138	5747	14925
139	5785	14876
140	5823	14826
141	5841	14727
142	5879	14678
143	5918	14631
144	5967	14610
